id,Binom,Poisson,Seq,Name,Date
186,0,4,1,Wyndham MacNeely,7.12.2016
187,0,7,1,Thomasin Knipe,23.7.2016
188,1,5,1,Dorella Wernher,21.12.2016
189,0,6,1,Olly Kleinerman,23.2.2017
190,0,4,1,Ricca Auchterlony,6.9.2016
191,0,4,1,Roxi Collum,31.10.2016
192,1,3,1,Adella Sire,3.6.2016
193,1,6,1,Ulric Akast,2.7.2016
194,0,1,1,Greer Formoy,14.12.2016
195,1,7,1,Abbott Lafont,12.1.2017
196,0,3,1,Othella Wiggam,6.7.2016
197,1,12,1,Nicolina Meddemmen,31.3.2017
198,1,7,1,Karola Duxbarry,23.11.2016
199,1,6,1,Maire Slimon,7.11.2016
200,0,5,1,Novelia Pehrsson,29.7.2016
201,1,3,1,Myca MacManus,2.4.2017
202,1,4,1,Rodolfo Quickfall,29.12.2016
203,1,6,1,Flori Thys,31.7.2016
204,1,5,1,Rafaelia Surgenor,5.5.2017
205,1,3,1,Marcello Gasker,1.5.2017
206,0,2,1,Aurlie Scamadin,8.6.2016
207,1,7,1,Yanaton Spring,6.6.2016
208,1,7,1,Joshua aManger,19.9.2016
209,0,4,1,Catina Fluin,9.4.2017
210,0,9,1,Jules Treuge,4.3.2017
211,0,7,1,Riley McQuorkell,15.5.2017
212,0,6,1,Davie Kleewein,26.10.2016
213,1,8,1,Ammamaria Gammie,16.8.2016
214,0,5,1,Rem O'Hagan,3.4.2017
215,0,6,1,Anselma Hubberstey,20.6.2016
216,0,7,1,Ulrika Guilford,11.3.2017
217,0,5,1,Patrice Auden,17.11.2016
218,0,8,1,Milt Sandels,30.1.2017
219,0,6,1,Enos Shattock,6.2.2017
220,0,8,1,Denyse Ech,4.8.2016
221,0,4,1,Damaris Gossan,12.2.2017
222,1,6,1,Mattie Swatman,10.4.2017
223,0,7,1,Tony Van Dalen,21.4.2017
224,0,7,1,Nerissa Ramsdell,15.4.2017
225,1,5,1,Bren Bowles,22.8.2016
226,0,7,1,Jaimie Leuty,31.12.2016
227,0,7,1,Albina Gildersleeve,23.3.2017
228,1,9,1,Rhett Larwood,24.2.2017
229,1,7,1,Jerad Baignard,18.6.2016
230,0,7,1,Wileen Hadigate,15.1.2017
231,0,8,1,Cosetta Coulbeck,16.2.2017
232,1,5,1,Roseline Claworth,20.3.2017
233,1,3,1,Ber Dowers,15.11.2016
234,0,3,1,Ferrel Vickar,1.1.2017
235,0,7,1,Ardyth Tison,18.7.2016
236,0,2,1,Marice Broadbear,3.3.2017
237,1,10,1,Wallis Wilshire,12.9.2016
238,1,3,1,Bell Mintoff,24.6.2016
239,0,4,1,Monti Van Cassel,2.11.2016
240,0,5,1,Broddy Toppes,9.4.2017
241,0,4,1,Marshall Gotthard,25.6.2016
242,0,4,1,Thaine Maclaine,18.6.2016
243,1,6,1,Christal Firpi,13.12.2016
244,0,4,1,Fancie Dormer,22.1.2017
245,1,7,1,Belicia Phythien,18.12.2016
246,0,4,1,Nissie Tregenza,13.7.2016
247,0,5,1,Melloney Wulfinger,4.1.2017
248,0,6,1,Norbie Ginger,25.7.2016
249,1,5,1,Rusty McCallister,24.4.2017
250,1,9,1,Marleen Becks,19.8.2016
251,0,8,1,Cointon Burrells,14.2.2017
252,0,6,1,Georgy Baudins,26.3.2017
253,1,7,1,Ardys Duck,11.6.2016
254,0,4,1,Cirillo Carles,1.11.2016
255,0,4,1,Gallagher Dreng,6.7.2016
256,1,4,1,Gui Garrison,5.11.2016
257,0,7,1,Albertine Stener,21.8.2016
258,0,8,1,Edmon Tidman,23.4.2017
259,0,3,1,Quentin Ivel,2.8.2016
260,1,5,1,Sukey Avory,19.2.2017
261,0,7,1,Zeb Warbey,4.11.2016
262,0,7,1,Monti McMechan,3.11.2016
263,0,6,1,Willow Seemmonds,22.2.2017
264,0,4,1,Lowe Kemmis,3.5.2017
265,1,4,1,Reece Kopta,7.5.2017
266,1,7,1,Avrom Mcall,8.3.2017
267,1,6,1,Fleur Geddes,23.10.2016
268,1,3,1,Elvis Boyn,1.6.2016
269,1,3,1,Kleon Kernaghan,27.10.2016
270,0,3,1,Jacquelin Sleath,22.4.2017
271,1,3,1,Kaja Mariel,3.6.2016
272,1,6,1,Shayla Gair,7.8.2016
273,1,10,1,Trudi Cleft,11.6.2016
274,1,2,1,Nye Ickeringill,27.2.2017
275,1,3,1,Dolli Tregear,4.3.2017
276,0,5,1,Alana Deeman,30.5.2016
277,0,6,1,Licha Cardenoza,25.3.2017
278,1,5,1,Myrtice Birckmann,6.9.2016
279,1,5,1,Leopold Hagan,21.6.2016
280,1,4,1,Joey Learmonth,21.8.2016
281,1,3,1,Gabbey Patterson,10.5.2017
282,1,4,1,Karine Clotworthy,15.10.2016
283,1,4,1,Issie Caron,21.10.2016
284,1,8,1,Emlynn Maunsell,4.10.2016
285,0,7,1,Fidela Pendrich,30.7.2016
286,0,6,1,Freddie Marrington,11.8.2016
287,1,4,1,Ilsa Osgorby,24.10.2016
288,1,1,1,Micheal Tiron,6.11.2016
289,0,3,1,Janella Andretti,10.1.2017
290,0,5,1,Lexie Wimmer,23.7.2016
291,0,1,1,Frannie Barrowcliff,8.9.2016
292,0,4,1,Kassie Peyzer,22.1.2017
293,1,1,1,Aubrie Kroin,20.12.2016
294,0,2,1,Madelon Wight,23.11.2016
295,0,8,1,Michell Wrathmall,19.5.2016
296,0,3,1,Otha Greatreax,30.11.2016
297,1,4,1,Tiertza Dyson,24.6.2016
298,0,4,1,Say Semens,24.2.2017
299,1,3,1,Demetris Ashbey,5.5.2017
300,1,6,1,Gloria Sircomb,11.4.2017
301,0,6,1,Maud Hamm,4.12.2016
302,0,3,1,Charity Guinn,12.3.2017
303,1,4,1,Bron Burdass,26.7.2016
304,1,4,1,Eda Pedrocchi,17.4.2017
305,0,2,1,Derry Revens,28.10.2016
306,1,12,1,Amelia Norcutt,19.7.2016
307,1,5,1,Issi Sibbs,13.12.2016
308,0,4,1,Marilyn Nicely,24.4.2017
309,0,4,1,Elberta Oley,19.5.2016
310,0,4,1,Nolana Lintall,20.8.2016
311,0,5,1,Salomon Stanners,5.2.2017
312,0,6,1,Consolata Kilshaw,17.6.2016
313,1,8,1,Loren Ibbison,31.7.2016
314,1,4,1,Antoine Caldicot,13.7.2016
315,0,6,1,Josias Cadding,29.5.2016
316,1,11,1,Melosa Pillman,4.11.2016
317,0,4,1,Hilly Downes,4.12.2016
318,1,4,1,Joyous Lethcoe,25.3.2017
319,1,5,1,Town Freestone,10.12.2016
320,1,5,1,Marion McElane,9.4.2017
321,0,6,1,Kiley Rickaert,20.12.2016
322,0,5,1,Briny Huckle,24.11.2016
323,0,4,1,Antoine Lugard,15.2.2017
324,1,7,1,Eduino Janus,26.5.2016
325,0,4,1,Chucho Bockman,28.7.2016
326,0,2,1,Rice Hightown,7.8.2016
327,1,4,1,Damita Sicely,10.10.2016
328,0,3,1,Emili Broose,1.2.2017
329,0,1,1,Bevin Glinde,3.6.2016
330,1,9,1,Garrett Stove,19.10.2016
331,0,4,1,Isidro Sowerbutts,8.3.2017
332,1,8,1,Erie Fennell,9.6.2016
333,1,7,1,Hans Doull,10.1.2017
334,0,3,1,Rafe Eyre,14.7.2016
335,1,6,1,Marcy Allberry,25.3.2017
336,0,6,1,Kimberly Shackel,15.3.2017
337,1,2,1,Polly Sangwin,31.5.2016
338,1,4,1,Daisi Marde,2.6.2016
339,1,1,1,Pierce Shutler,1.1.2017
340,1,3,1,Papageno Clemmen,12.7.2016
341,1,4,1,Arney Jerome,15.11.2016
342,0,2,1,Peggy Kachel,23.1.2017
343,0,8,1,Ranna Upwood,30.5.2016
344,1,9,1,Carson Topp,16.7.2016
345,1,4,1,Ethel Seakin,31.10.2016
346,1,6,1,Silvia Wolfit,21.6.2016
347,0,6,1,Remington Tregea,5.4.2017
348,0,6,1,Clayson Kielt,11.2.2017
349,1,3,1,Rand Barmadier,16.4.2017
350,1,7,1,Maire Dumsday,4.10.2016
351,1,3,1,Angelo Alchin,13.11.2016
352,1,10,1,Phineas Effnert,8.7.2016
353,0,6,1,Roley Sorsbie,16.11.2016
354,0,1,1,Darby Parchment,11.11.2016
355,1,2,1,Kerby Allchorne,13.6.2016
356,0,4,1,Norri Sharnock,20.4.2017
357,0,6,1,Clayson Pearcey,6.10.2016
358,0,6,1,Paulina Tomasian,31.12.2016
359,0,5,1,Jodie Giovanni,23.11.2016
360,0,4,1,Jocelyne Greenaway,18.7.2016
361,0,3,1,Chiarra Gilogly,9.8.2016
362,0,4,1,Tye Staley,4.8.2016
363,0,7,1,Mandel Loade,17.9.2016
364,1,6,1,Rustie Brenton,15.11.2016
365,0,7,1,Lavinie Wooff,19.12.2016
366,0,5,1,Kelwin Mullard,10.5.2017
367,1,2,1,Tuesday Clemenson,6.1.2017
368,0,5,1,Ansley Hughesdon,2.6.2016
369,0,5,1,Mitchell Tue,7.12.2016
370,0,6,1,Sholom Lindenfeld,7.2.2017
371,0,1,1,Vivi Dainton,18.6.2016
372,0,6,1,Marsh Bamlett,1.6.2016
373,0,5,1,Dill Fearnyhough,1.8.2016
374,1,6,1,Redd Collecott,22.9.2016
375,0,7,1,Dorry Gunderson,7.3.2017
376,1,7,1,Frederic Cawthorn,22.2.2017
377,0,2,1,Nannie Mallall,14.1.2017
378,0,10,1,Francene Waterland,28.1.2017
379,0,7,1,Roxy Lethbrig,24.1.2017
380,0,6,1,Purcell Andrysiak,14.6.2016
381,1,2,1,Blondell Clemensen,28.7.2016
382,1,2,1,Sheff Fergusson,17.3.2017
383,0,4,1,Victoria Artinstall,8.7.2016
384,0,4,1,Leta Mahedy,8.1.2017
385,0,4,1,Whitney Benedikt,1.6.2016
386,1,3,1,Clementine Pechan,2.11.2016
387,1,9,1,Margi Peasnone,10.10.2016
388,0,3,1,Huntley Aronovich,3.4.2017
389,0,6,1,Wye Wolsey,8.6.2016
390,1,5,1,Alis Pendleton,20.4.2017
391,0,6,1,Maurits Copas,27.1.2017
392,0,2,1,Tannie Tsar,4.1.2017
393,0,7,1,Carmen Beggini,1.8.2016
394,0,5,1,Kinna Solomon,20.1.2017
395,0,3,1,Anita Yeskov,4.12.2016
396,0,8,1,Ingrim Tewelson,23.5.2016
397,0,4,1,Jerrylee Gillooly,20.11.2016
398,0,1,1,Jaine Eyckelberg,29.6.2016
399,0,6,1,Mata Daventry,27.3.2017
400,0,4,1,Issy Brigg,26.7.2016
401,1,5,1,Georgena Ackeroyd,20.9.2016
402,1,5,1,Hamlen Westfalen,15.5.2017
403,1,2,1,Emanuele Mantha,21.4.2017
404,1,6,1,Jeannine O'Loinn,6.6.2016
405,1,6,1,Ayn Petrovykh,17.11.2016
406,0,3,1,Lucila Andrus,21.1.2017
407,0,5,1,Karisa Boog,13.7.2016
408,0,4,1,Madelene Grimbaldeston,6.8.2016
409,0,5,1,Emilio Hillatt,24.6.2016
410,0,5,1,Brice Challenger,2.6.2016
411,0,1,1,Rose Narracott,21.1.2017
412,1,6,1,Peter Bloggett,29.5.2016
413,1,6,1,Cletus Pendre,21.7.2016
414,1,8,1,Myrtia Mariet,9.12.2016
415,1,3,1,Dannel Suston,23.10.2016
416,1,4,1,Sapphire Benion,30.8.2016
417,0,5,1,Katerina Cannell,4.12.2016
418,1,4,1,Bartholomew Blasiak,4.5.2017
419,0,4,1,Micki Fishwick,11.2.2017
420,0,10,1,Benedict Bradnock,17.9.2016
421,0,3,1,Nike Shillom,22.1.2017
422,0,7,1,Bathsheba Labern,22.11.2016
423,1,12,1,Bartlett McLaverty,7.8.2016
424,0,5,1,Glad Salvati,16.9.2016
425,1,4,1,Ennis Deane,5.5.2017
426,0,6,1,Wendy Stammer,1.2.2017
427,1,5,1,Homerus Pignon,28.7.2016
428,1,5,1,Michaella Habberjam,15.2.2017
429,1,6,1,Idette Ruspine,23.7.2016
430,1,7,1,Kaela Speeks,2.5.2017
431,1,2,1,Edsel Radage,31.5.2016
432,1,3,1,Elmore Leas,18.12.2016
433,0,6,1,Mandie Rainbow,9.8.2016
434,0,6,1,Geralda Prinnett,2.10.2016
435,0,3,1,Clarabelle Hendrik,26.6.2016
436,0,8,1,Pierre La Grange,22.3.2017
437,1,5,1,Bil Philbrick,4.8.2016
438,0,7,1,Darcee Sidry,26.11.2016
439,0,6,1,Francis Revel,4.2.2017
440,1,7,1,Drud Pennetta,17.7.2016
441,1,4,1,Ivor Shea,4.8.2016
442,1,5,1,Joey Helkin,14.11.2016
443,1,5,1,Rufe Dunkerton,20.3.2017
444,0,1,1,Myrtie Brydie,7.3.2017
445,1,5,1,Kent Galliver,11.1.2017
446,0,3,1,Lazar Maddern,31.10.2016
447,1,2,1,Ric Stoade,2.6.2016
448,0,7,1,Sumner Luke,23.10.2016
449,0,4,1,Brendan Croke,27.8.2016
450,0,6,1,Dulcia Dominick,8.4.2017
451,0,3,1,Christel Batrim,25.9.2016
452,0,4,1,Donavon Zold,4.7.2016
453,1,3,1,Aida Goscar,21.3.2017
454,0,2,1,Simeon Amaya,5.6.2016
455,1,5,1,Berty Cabera,15.5.2017
456,0,1,1,Francisco Gawthorp,26.11.2016
457,1,6,1,Kippie Cracknell,13.11.2016
458,0,3,1,Harlen Shwenn,20.4.2017
459,1,10,1,Valina De Roberto,15.7.2016
460,0,5,1,Myrlene Baldwin,29.5.2016
461,0,4,1,Odella Cassy,6.5.2017
462,0,6,1,Giordano Dirkin,8.8.2016
463,0,8,1,Adey Carnaman,7.5.2017
464,0,11,1,Joann Izkovici,9.7.2016
465,0,6,1,Jayme Boughtflower,16.1.2017
466,1,3,1,Matty Cane,7.2.2017
467,0,5,1,Sioux Sayles,9.9.2016
468,0,6,1,Erna Hay,3.6.2016
469,0,4,1,Christabel Jellybrand,13.5.2017
470,0,4,1,Rudy Mullineux,11.4.2017
471,0,4,1,Huntlee Woollcott,31.1.2017
472,1,6,1,Annamarie Jahner,20.7.2016
473,0,7,1,Hillier Kirkwood,19.9.2016
474,1,3,1,Terese McPeck,26.7.2016
475,1,4,1,Ximenes Wattins,7.7.2016
476,0,5,1,Carree Dudding,16.7.2016
477,1,3,1,Timothea Berrick,16.10.2016
478,1,3,1,Ariela Pentycost,18.3.2017
479,0,7,1,Clarie Gainseford,18.4.2017
480,0,4,1,Cornelle Suller,29.8.2016
481,0,3,1,Nataniel Fortesquieu,24.1.2017
482,0,1,1,Letisha Aikett,4.4.2017
483,1,6,1,Emma Morrott,5.6.2016
484,1,6,1,Isaak Smallbone,4.11.2016
485,0,9,1,Goddart Hugonneau,26.1.2017
486,0,3,1,Emelina Coyle,21.6.2016
487,1,2,1,Tabina Syrad,14.9.2016
488,0,7,1,Isis Iacobo,15.6.2016
489,1,3,1,Yurik Reisk,30.1.2017
490,1,3,1,Tab Mannix,6.10.2016
491,0,6,1,Camile McCuis,16.3.2017
492,0,6,1,Warde O'Lennane,7.4.2017
493,0,7,1,Myca Lakey,15.7.2016
494,0,2,1,Norina Yerborn,25.9.2016
495,0,8,1,Gualterio Clitherow,9.1.2017
496,0,1,1,Coreen Seller,31.7.2016
497,1,10,1,Ceciley Schurcke,28.1.2017
498,0,5,1,Aubine Bouldstridge,19.4.2017
499,0,2,1,Benton Deacock,15.8.2016
500,0,3,1,Katinka Lean,3.12.2016
501,0,6,1,Vernice Holt,23.2.2017
502,0,7,1,Orlando Geerdts,25.10.2016
503,0,7,1,Oswell Giffon,15.3.2017
504,0,4,1,Tarah Crickmer,17.12.2016
505,1,6,1,Terri Cullingworth,16.1.2017
506,1,5,1,Peyton Duchatel,25.4.2017
507,0,7,1,Dianemarie Winterscale,2.10.2016
508,1,4,1,Jermayne Bidgood,25.5.2016
509,1,10,1,Alejoa Gulley,22.1.2017
510,0,7,1,Alexandra Monahan,11.10.2016
511,1,2,1,Tadeas Fayter,14.9.2016
512,0,11,1,Yolane Hoyle,4.8.2016
513,0,1,1,Ardyce Dart,4.7.2016
514,0,5,1,Benedikta Clayal,29.9.2016
515,1,7,1,Fabien Kubista,19.5.2016
516,0,6,1,Holly Kiddye,24.10.2016
517,1,4,1,Luci Hinzer,18.4.2017
518,0,7,1,Stesha Baudains,14.6.2016
519,0,5,1,Jorry Eyckelberg,27.8.2016
520,1,5,1,Kenneth Wasson,4.2.2017
521,1,2,1,Norri Jansen,27.7.2016
522,0,2,1,Werner Ibbs,18.7.2016
523,1,6,1,Mischa Gadeaux,17.6.2016
524,1,3,1,Devlen Speake,30.11.2016
525,0,5,1,Sarge Duckerin,24.10.2016
526,1,7,1,Mic Culpan,30.1.2017
527,1,3,1,Perren Lates,18.8.2016
528,1,4,1,Stearn Mavin,18.2.2017
529,1,3,1,Wendell Kimbrey,12.3.2017
530,0,2,1,Austina Cosins,26.8.2016
531,1,6,1,Cymbre Tyrone,18.3.2017
532,1,8,1,Donnajean Springle,5.11.2016
533,0,2,1,Eddy Di Carlo,17.4.2017
534,1,3,1,Hubey Malyan,14.12.2016
535,1,5,1,Neysa Brannan,16.12.2016
536,1,2,1,La verne Piele,5.2.2017
537,0,3,1,Felice Gowers,16.6.2016
538,1,2,1,Darryl Virgoe,14.8.2016
539,0,10,1,Phelia Rahill,9.11.2016
540,1,4,1,Reinaldos Vardie,4.3.2017
541,0,3,1,Wallis Gowdie,22.3.2017
542,0,5,1,Stephie Banghe,17.2.2017
543,0,4,1,Debi Behning,30.1.2017
544,0,7,1,Petronella Zupo,22.7.2016
545,1,6,1,Colas Sinfield,14.6.2016
546,0,7,1,Shamus Blaycock,23.2.2017
547,0,3,1,Adelheid Chittem,23.2.2017
548,0,2,1,Herc Corrigan,23.2.2017
549,0,7,1,Lotty Yeldham,8.10.2016
550,1,5,1,Gerome Chazotte,2.4.2017
551,0,6,1,Dinny Magson,14.6.2016
552,1,3,1,Cassius Wilton,6.4.2017
553,0,6,1,Enrico Salthouse,28.8.2016
554,1,7,1,Jordana Flaxon,27.11.2016
555,0,2,1,Ardra Branney,22.9.2016
556,0,2,1,Kin Parmeter,16.7.2016
557,0,5,1,Olga Nevins,16.5.2016
558,0,6,1,Fayina Ratnage,25.4.2017
559,0,4,1,Dino Treacher,14.10.2016
560,1,6,1,Terry Pionter,31.1.2017
561,1,4,1,Lou Yetts,28.5.2016
562,0,4,1,Teressa McNaught,8.10.2016
563,1,5,1,Jandy Sparshett,10.7.2016
564,1,3,1,Almeda Gamble,24.6.2016
565,0,3,1,Jermaine Dashper,8.5.2017
566,0,3,1,Benjamin Verriour,4.12.2016
567,1,6,1,Pandora Eveque,22.6.2016
568,1,7,1,Malinda Obern,10.1.2017
569,1,6,1,Giacomo Gori,7.3.2017
570,0,5,1,Bertha Drakes,21.8.2016
571,0,2,1,Cord Oloshkin,7.7.2016
572,0,7,1,Maude Lewknor,20.9.2016
573,0,4,1,Penn Oles,30.1.2017
574,1,4,1,Lonni O' Brian,15.12.2016
